Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,RHF,HF,Stråleterapienhet,Befolkning2020
3423,Stor-Elvdal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2318
3424,Rendalen,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1722
3425,Engerdal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1253
3426,Tolga,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1551
3427,Tynset,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,5581
3428,Alvdal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2445
3429,Folldal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1530
3430,Os,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1855
3431,Dovre,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2498
3432,Lesja,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1986
3433,Skjåk,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2151
3434,Lom,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2211
3435,Vågå,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,3591
3436,Nord-Fron,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,5628
3437,Sel,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,5531
3438,Sør-Fron,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,3064
3439,Ringebu,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,4385
3440,Øyer,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,5082
3441,Gausdal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,6079
3442,Østre Toten,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,14827
3443,Vestre Toten,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,13572
3446,Gran,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,13633
3447,Søndre Land,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,5535
3448,Nordre Land,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,6577
3449,Sør-Aurdal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2889
3450,Etnedal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1256
3451,Nord-Aurdal,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,6354
3452,Vestre Slidre,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,2111
3453,Øystre Slidre,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,3252
3454,Vang,34,Innlandet,Helse Sør-Øst,Sykehuset Innlandet,Sykehuset i Gjøvik,1587
3001,Halden,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,31444
3002,Moss,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,50290
3003,Sarpsborg,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,58182
3004,Fredrikstad,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,83892
3011,Hvaler,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,4741
3012,Aremark,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,1315
3013,Marker,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,3578
3014,Indre Østfold,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,45608
3015,Skiptvet,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,3846
3016,Rakkestad,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,8312
3017,Råde,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,7633
3018,Våler (Viken),30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,5913
3019,Vestby,30,Viken,Helse Sør-Øst,Sykehuset Østfold,Oslo Universitetssykehus,18699
4201,Risør,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,6735
4202,Grimstad,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,24017
4203,Arendal,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,45509
4204,Kristiansand,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,113737
4205,Lindesnes,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,23147
4206,Farsund,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,9622
4207,Flekkefjord,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,9048
4211,Gjerstad,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,2427
4212,Vegårshei,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,2131
4213,Tvedestrand,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,6115
4214,Froland,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,6098
4215,Lillesand,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,11279
4216,Birkenes,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,5342
4217,Åmli,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,1801
4218,Iveland,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,1323
4219,Evje og Hornnes,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,3653
4220,Bygland,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,1134
4221,Valle,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,1169
4222,Bykle,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,935
4223,Vennesla,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,15123
4224,Åseral,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,912
4225,Lyngdal,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,10480
4226,Hægebostad,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,1704
4227,Kvinesdal,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,5883
4228,Sirdal,42,Agder,Helse Sør-Øst,Sørlandet Sykehus,Sørlandet Sykehus,1810
1806,Narvik,18,Nordland,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,21530
1851,Lødingen,18,Nordland,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1976
1853,Evenes,18,Nordland,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1334
5401,Tromsø,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,77544
5402,Harstad,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,24804
5411,Kvæfjord,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,2789
5412,Tjeldsund,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,4201
5413,Ibestad,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1289
5414,Gratangen,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1070
5415,Lavangen,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,970
5416,Bardu,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,3993
5417,Salangen,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,2087
5418,Målselv,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,6599
5419,Sørreisa,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,3414
5420,Dyrøy,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1068
5421,Senja,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,14738
5422,Balsfjord,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,5576
5423,Karlsøy,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,2179
5424,Lyngen,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,2729
5425,Storfjord,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1836
5426,Kåfjord,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,2012
5427,Skjervøy,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,2804
5428,Nordreisa,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,4746
5429,Kvænangen,54,Troms og Finnmark,Helse Nord,Universitetssykehuset Nord-Norge,UNN Tromsø,1159
3005,Drammen,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,102273
3006,Kongsberg,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,27879
3007,Ringerike,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,31011
3024,Bærum,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,128982
3025,Asker,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,96088
3038,Hole,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,6859
3039,Flå,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,1057
3040,Nesbyen,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,3273
3041,Gol,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,4667
3042,Hemsedal,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,2611
3043,Ål,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,4650
3044,Hol,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,4504
3045,Sigdal,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,3492
3046,Krødsherad,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,2189
3047,Modum,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,14273
3048,Øvre Eiker,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,20044
3049,Lier,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,27584
3050,Flesberg,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,2720
3051,Rollag,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,1370
3052,Nore og Uvdal,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,2455
3053,Jevnaker,30,Viken,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,6908
3802,Holmestrand (tidl. Sande),38,Vestfold og Telemark,Helse Sør-Øst,Vestre Viken Helseforetak,Oslo Universitetssykehus,25681
